jmeno/kraj;1;2;3;4;5;6;7;8;9;10;11;12;13;14;;SUMA
;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;1
-;0;1;0;0;0;1;21;1;0;0;0;0;0;35;;59
A;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;1
A A GEDE NGURAH;0;0;0;0;0;1;;1
A BANG;0;0;0;0;0;0;0;0;0;1;;1
A S BABAR;0;0;0;0;0;0;0;0;0;1;;1
A S M AZMUL;0;1;;1
A TON;0;0;0;0;0;0;0;0;1;;1
A-MI;0;0;0;0;0;0;0;0;0;1;;1
A-RIA;0;0;0;0;0;0;0;0;0;1;;1
A. TAIMOR;0;0;0;0;0;0;0;0;0;0;1;;1
A.K.M. ASIKUR RAZZAQUE;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;1
AAFIA ABRAR;0;0;0;0;0;0;0;0;0;1;;1
AAFJE;0;0;0;0;1;;1
AAGOT;0;0;0;0;0;0;0;0;0;1;;1
AAKAANKSHA KUMARI;0;0;0;0;0;0;0;0;0;1;;1
AAKANKSHA ROHIT;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;1
AALDERT;0;0;0;1;;1
AALIYAH;0;0;0;0;0;0;0;0;0;1;;1
AALIYAH ANTONIE;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;1
AALIYAH CHELSEA;0;0;0;0;0;0;0;0;0;0;0;0;1;;1
AALIYAH LAURA;0;0;0;0;0;0;0;0;0;0;0;1;;1
AALIYAH MARIA;0;1;;1
AALTJE;0;0;0;0;0;0;1;0;0;1;;2
AALTJE HENDRIKA;1;;1
AARON;1;6;1;1;0;2;1;0;2;2;2;0;0;7;;25
AARON ARAM;0;0;0;0;0;1;;1
AARON CHARLES LEWIS;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;1
AARON DAVID;0;0;0;0;0;0;0;0;0;1;0;1;0;1;;3
AARON JAMES;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;2
AARON JOHN;0;0;0;0;0;0;0;0;0;1;;1
AARON JON;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;1
AARON JOSEPH;0;0;0;0;0;0;0;0;1;;1
AARON M;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;1
AARON MARC;0;1;;1
AARON MATTHEW;0;0;0;0;0;0;0;0;0;1;;1
AARON MICHAEL;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;1
AARON QIMING;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;1
AARON RICHARD;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;1
AARON ROBIN;0;0;0;0;0;1;;1
AARON STEFFEN;0;1;;1
AARON TAYLOR;0;0;0;0;0;0;0;0;0;1;;1
AART;0;0;0;0;0;0;0;0;1;1;;2
AART BATTISTA;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;1
AART JAN;0;0;0;1;;1
AART WILHELM;0;0;0;0;0;0;0;0;0;1;;1
AARTI SATISH;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;1
AARTJE;0;0;0;0;0;0;0;0;0;2;;2
AARYAN RAMIS;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;1
AASE;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;1
ABA;0;0;0;0;0;1;;1
ABADI;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;1
ABAKAR;0;0;1;;1
ABAKAR ALIBEKOVIÈ;0;0;1;;1
ABAS;0;1;;1
ABASEEN;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;2
ABAYOMI;0;1;;1
ABAYOMI ADETUNJI;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;1
ABAZ;0;0;0;0;1;1;0;0;0;1;0;0;0;1;;4
ABBAS;0;3;0;0;1;0;0;0;0;0;1;0;0;5;;10
ABBAS ALI;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;1
ABBAS ALI NASSER;0;0;0;0;0;0;0;0;0;0;0;1;;1
ABBAS ESSA ABBAS;0;0;0;0;0;0;0;0;0;0;1;;1
ABBEE PEARL;0;1;;1
ABBI;0;0;0;0;0;0;0;0;1;;1
ABBI LOUISE;0;0;0;0;0;0;0;0;0;1;;1
ABBOS;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;1
ABBOSHON;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;1
ABBOSJON;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;1
ABBOSKHON;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;1
ABBY;0;2;;2
ABBY GAYLE;0;1;;1
ABBY JANE;0;0;0;0;0;0;1;;1
ABBY LENA;0;0;0;0;0;0;1;;1
ABBY RAE;0;1;;1
ABBY RUTH;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;1
ABBYGALE JIRINA;0;1;;1
ABD ALAZIZ FATHI;0;0;0;0;0;0;0;0;0;1;;1
ABD EL HAMID;0;0;0;0;0;0;0;0;0;0;0;0;1;;1
ABD EL NASSER;0;0;0;0;0;1;;1
ABDALAH;0;0;0;0;1;;1
ABDALKARIM I A;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;1
ABDALKRIM A.M.;0;1;;1
ABDALLA;0;0;0;0;1;0;0;0;0;0;0;0;0;1;;2
ABDALLA ALI;0;0;0;0;0;0;0;0;0;0;1;;1
ABDALLA HOSENY;1;;1
ABDALLA IBRAHIM IBRAHIM;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;1
ABDALLA MOHAMED ABDELHAK;0;0;0;0;0;0;0;1;;1
ABDALLA MOHAMED ZAKI;0;0;0;0;0;0;0;0;0;0;1;;1
ABDALLAH;0;1;0;0;0;0;2;0;1;0;2;0;0;7;;13
ABDALLAH BEN MOHAMED;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;1
ABDALLAH IBRAHIM;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;1
ABDALLAH YOUCEF;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;1
ABDALRAHMAN;0;0;0;0;0;0;0;0;0;0;1;;1
ABDEL;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;1
ABDEL BASET;0;0;0;0;0;0;0;0;1;;1
ABDEL FATTAH;0;0;0;0;0;0;0;0;0;0;0;1;;1
ABDEL HAKIM;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;1
ABDEL HAKIM ABDEL RAHMAN;0;0;0;0;0;0;0;0;0;1;;1
ABDEL HALIM;0;0;0;1;;1
ABDEL HAMID BEN SADOK;0;0;0;0;0;0;0;0;0;1;;1
ABDEL JALIL;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;1
ABDEL KADER;0;1;0;0;0;0;0;0;0;0;0;0;0;1;;2
ABDEL KADIR;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;1
ABDEL MADJID;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;1
ABDEL MOHAMED OLIMY;0;0;0;0;0;0;0;0;0;1;;1
ABDEL RAHMAN;0;1;0;0;0;0;0;0;0;0;0;0;1;1;;3
ABDEL RAOUF;0;0;0;0;0;1;;1
ABDEL-KARIM;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;1
ABDEL-NASSER;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;1
